TERRITORIO#en,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#en,TIME_PERIOD#es,TIME_PERIOD_CODE,TIPO_ALOJAMIENTO#en,TIPO_ALOJAMIENTO#es,TIPO_ALOJAMIENTO_CODE,MEDIDAS#en,MEDIDAS#es,MEDIDAS_CODE,PAIS_RESIDENCIA#en,PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#en,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION,ESTADO_OBSERVACION#en,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Canary Islands,Canarias,ES70,2021 Second quarter,2021 Segundo trimestre,2021-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,99095,,,,,,
Canary Islands,Canarias,ES70,2021 Third quarter,2021 Tercer trimestre,2021-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,212051,,,,,,
Canary Islands,Canarias,ES70,2021 Fourth quarter,2021 Cuarto trimestre,2021-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,283161,,,,,,
Canary Islands,Canarias,ES70,2021,2021,2021,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,632807,,,,,,
Canary Islands,Canarias,ES70,2022 First quarter,2022 Primer trimestre,2022-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,268556,,,,,,
Canary Islands,Canarias,ES70,2022 Second quarter,2022 Segundo trimestre,2022-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,334297,,,,,,
Canary Islands,Canarias,ES70,2022 Third quarter,2022 Tercer trimestre,2022-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,360133,,,,,,
Canary Islands,Canarias,ES70,2022 Fourth quarter,2022 Cuarto trimestre,2022-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,383923,,,,,,
Canary Islands,Canarias,ES70,2022,2022,2022,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,1346910,,,,,,
Canary Islands,Canarias,ES70,2023 First quarter,2023 Primer trimestre,2023-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,367775,,,,,,
Canary Islands,Canarias,ES70,2023 Second quarter,2023 Segundo trimestre,2023-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,328033,,,,,,
Canary Islands,Canarias,ES70,2023 Third quarter,2023 Tercer trimestre,2023-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,352052,,,,,,
Canary Islands,Canarias,ES70,2023 Fourth quarter,2023 Cuarto trimestre,2023-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,366094,,,,,,
Canary Islands,Canarias,ES70,2023,2023,2023,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,1413955,,,,,,
Canary Islands,Canarias,ES70,2024 First quarter,2024 Primer trimestre,2024-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,348913,,,,,,
Canary Islands,Canarias,ES70,2024 Second quarter,2024 Segundo trimestre,2024-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,343106,,,,,,
Canary Islands,Canarias,ES70,2024 Third quarter,2024 Tercer trimestre,2024-Q3,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,333831,,,,,,
Canary Islands,Canarias,ES70,2024 Fourth quarter,2024 Cuarto trimestre,2024-Q4,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,364279,,,,,,
Canary Islands,Canarias,ES70,2024,2024,2024,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,1390129,,,,,,
Canary Islands,Canarias,ES70,2025 First quarter,2025 Primer trimestre,2025-Q1,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,335739,,,,,,
Canary Islands,Canarias,ES70,2025 Second quarter,2025 Segundo trimestre,2025-Q2,,Hotel 5 Estrellas,HOTEL_ESTRELLAS_5,,Turistas,TURISTAS,,Total,_T,322223,,,,,,
