PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,NIVEL_INGRESOS#es,NIVEL_INGRESOS_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,NOTAS_OBSERVACION,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Reino Unido,GB,Canarias,ES70,2024 Cuarto trimestre,2024-Q4,Total,_T,Turistas,TURISTAS,1460890,,,,
Reino Unido,GB,Canarias,ES70,2024,2024,Total,_T,Turistas,TURISTAS,5354753,,,,
Reino Unido,GB,Canarias,ES70,2025 Primer trimestre,2025-Q1,Total,_T,Turistas,TURISTAS,1368651,,,,
Reino Unido,GB,Canarias,ES70,2025 Segundo trimestre,2025-Q2,Total,_T,Turistas,TURISTAS,1313194,,,,
Reino Unido,GB,Canarias,ES70,2025 Tercer trimestre,2025-Q3,Total,_T,Turistas,TURISTAS,1338714,,,,
Reino Unido,GB,Canarias,ES70,2025 Cuarto trimestre,2025-Q4,Total,_T,Turistas,TURISTAS,1483067,,,,
Reino Unido,GB,Canarias,ES70,2025,2025,Total,_T,Turistas,TURISTAS,5503626,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2018 Primer trimestre,2018-Q1,Total,_T,Turistas,TURISTAS,310029,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2018 Segundo trimestre,2018-Q2,Total,_T,Turistas,TURISTAS,396482,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2018 Tercer trimestre,2018-Q3,Total,_T,Turistas,TURISTAS,503176,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2018 Cuarto trimestre,2018-Q4,Total,_T,Turistas,TURISTAS,334730,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2018,2018,Total,_T,Turistas,TURISTAS,1544417,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2019 Primer trimestre,2019-Q1,Total,_T,Turistas,TURISTAS,379734,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2019 Segundo trimestre,2019-Q2,Total,_T,Turistas,TURISTAS,443028,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2019 Tercer trimestre,2019-Q3,Total,_T,Turistas,TURISTAS,569285,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2019 Cuarto trimestre,2019-Q4,Total,_T,Turistas,TURISTAS,374976,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2019,2019,Total,_T,Turistas,TURISTAS,1767023,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2020 Primer trimestre,2020-Q1,Total,_T,Turistas,TURISTAS,267764,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2020 Segundo trimestre,2020-Q2,Total,_T,Turistas,TURISTAS,,,,Valor no disponible; el dato no existe,M
España (excluida Canarias),ES_XIC,Canarias,ES70,2020 Tercer trimestre,2020-Q3,Total,_T,Turistas,TURISTAS,306350,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2020 Cuarto trimestre,2020-Q4,Total,_T,Turistas,TURISTAS,148219,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2020,2020,Total,_T,Turistas,TURISTAS,722333,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2021 Primer trimestre,2021-Q1,Total,_T,Turistas,TURISTAS,100685,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2021 Segundo trimestre,2021-Q2,Total,_T,Turistas,TURISTAS,227304,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2021 Tercer trimestre,2021-Q3,Total,_T,Turistas,TURISTAS,562807,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2021 Cuarto trimestre,2021-Q4,Total,_T,Turistas,TURISTAS,364662,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2021,2021,Total,_T,Turistas,TURISTAS,1255458,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2022 Primer trimestre,2022-Q1,Total,_T,Turistas,TURISTAS,298987,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2022 Segundo trimestre,2022-Q2,Total,_T,Turistas,TURISTAS,448475,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2022 Tercer trimestre,2022-Q3,Total,_T,Turistas,TURISTAS,564052,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2022 Cuarto trimestre,2022-Q4,Total,_T,Turistas,TURISTAS,401238,,,,
España (excluida Canarias),ES_XIC,Canarias,ES70,2022,2022,Total,_T,Turistas,TURISTAS,1712752,,,,
